 r  b   swpd libero   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0    256 135912  60964 1032924    0    0     0     0 6431 1219  6 41 53  0  0
 0  0    256 135912  60972 1032932    0    0     0    44 10424 1179  6 47 48  0  0
 2  0    256 135912  60972 1032944    0    0     0    56 5335 1078  3 35 62  0  0
 5  0    256 135912  60972 1032956    0    0     0     0 11773 1242  6 55 39  0  0
 1  0    256 135912  60972 1032964    0    0     0     0 5317 1175  4 36 60  0  0
 2  0    256 135912  60972 1032976    0    0     0     4 7221 1199  7 36 57  0  0
 0  0    256 135912  60980 1032988    0    0     0    28 9131 1183  6 47 48  0  0
 3  0    256 135912  60980 1032996    0    0     0    60 7595 1088  6 38 56  0  0
 1  0    256 135912  60980 1033008    0    0     0     0 9534 1218  8 43 48  0  0
 2  0    256 135912  60980 1033020    0    0     0     0 6303 1150  5 37 58  0  0
 0  0    256 135912  60980 1033028    0    0     0     0 10935 1300  8 48 45  0  0
 7  0    256 135912  60988 1033044    0    0     0    48 7257 1109  7 43 50  0  0
 0  0    256 135912  60988 1033056    0    0     0    56 8178 1157  3 38 59  0  0
 2  0    256 135912  60996 1033056    0    0     0    56 5400 1240  6 38 56  0  0
 0  0    256 135912  60996 1033080    0    0     0     0 9093 1233  6 41 53  0  0
 2  0    256 135912  60996 1033088    0    0     0     0 7064 1215  5 38 57  0  0
 1  0    256 135912  60996 1033100    0    0     0     0 7180 1244  5 42 53  0  0
 3  0    256 135912  60996 1033112    0    0     0    68 9838 1264  4 47 48  0  0
 0  0    256 135912  60996 1033120    0    0     0     0 4601 1206  7 30 63  0  0
 0  0    256 135912  61004 1033120    0    0     0    60  143  519  2  3 95  0  0
 1  0    256 135912  61004 1033120    0    0     0     0  141  517  3  2 95  0  0
 2  0    256 135912  61004 1033120    0    0     0     0  150  451  3  2 95  0  0
