 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 271156  75176  10680 508512    0    0     0     0  695  430  1 26 74  0  0
 0  0 271156  70244  10688 508568    0    0     0   164 1186 2889  8 21 72  0  0
 0  0 271156  70432  10688 508568    0    0     0     0  798  654  1 16 84  0  0
 0  0 271156  69132  10688 508576    0    0     0     0  947  479  1 25 74  0  0
 2  0 271156  68764  10688 508576    0    0     0    36  614  376  1 16 84  0  0
 0  0 271412  74960  10680 507772    0  180   124   180  784  692  2 34 65  0  0
 1  0 271412  72324  10704 507776    0    0     0   180  886  558  1 16 83  0  0
 0  0 271412  75688  10704 507780    0    0     0     0  599  503  1 17 82  0  0
 0  0 271412  77964  10704 507780    0    0     0     0  507  329  0 10 90  0  0
 1  0 271412  74240  10704 507784    0    0     0     4  874  672  3 22 75  0  0
 0  0 271412  78868  10704 507788    0    0     0     0  541  393  1 19 80  0  0
 1  0 271412  73684  10712 507792    0    0     0    48  811  485  1 31 68  0  0
 0  0 271412  75412  10712 507796    0    0     0     0  527  423  1 20 79  0  0
 0  0 271412  71740  10712 507796    0    0     0     0  655  546  2 30 68  0  0
 0  0 271412  82160  10712 507084    0  152    68   152  514  416  1 21 78  0  0
 1  0 271412  79092  10712 507084    0    0     0     0  506  378  1 13 86  0  0
 0  0 271412  78448  10720 507092    0    0     0    16  525  525  2 17 81  0  0
 1  0 271412  80064  10720 507092    0    0     0     0  552  333  1 13 86  0  0
 1  0 271412  76872  10720 507100    0    0     0     0  615  403  0 27 73  0  0
 0  0 271412  80932  10720 507100    0    0     0     0  405  318  1 10 89  0  0
 0  0 271412  82464  10720 507100    0    0     0     0  652  601  2 33 65  0  0
 1  0 271412  77576  10728 507108    0    0     0    52  616  384  1 14 85  0  0
 0  0 271412  82756  10728 507112    0    0     0     0  518  353  1 16 83  0  0
 0  0 271412  80864  10728 507112    0    0     0     0  660  388  0 24 76  0  0
 1  0 271412  77932  10728 507116    0    0     0   104  513  435  0 17 83  0  0
 0  0 271412  79292  10728 507120    0    0     0     0  557  372  2 36 63  0  0
 0  0 271412  80936  10740 507124    0    0     0    36  606  401  0 21 79  0  0
 0  0 271412  80276  10740 507128    0    0     0     0  459  342  1 13 87  0  0
 0  0 271412  83116  10740 507128    0    0     0     0  771  380  1 23 76  0  0
 0  0 271412  84196  10740 507132    0    0     0     0  536  376  0 17 83  0  0
 0  0 271412  81008  10740 507136    0    0     0     4  654  478  1 21 78  0  0
 1  0 271412  88012  10748 507140    0    0     0    16  498  387  1 18 82  0  0
 0  0 271412  80756  10748 507144    0    0     0     0  493  426  1 21 79  0  0
 0  0 271412  80792  10748 507148    0    0     0     0  548  405  0 21 79  0  0
 0  0 271412  83836  10748 507148    0    0     0     0  450  366  1 17 83  0  0
 0  0 271412  81568  10748 507148    0    0     0   772  563  413  1 26 74  0  0
 2  0 271412  78156  10756 507148    0    0     0    28  774  458  0 21 79  0  0
 3  0 271412  85868  10756 507164    0    0     0     0  422  315  0 18 82  0  0
 0  0 271412  83136  10756 507168    0    0     0     0  508  394  1 11 89  0  0
 0  0 271412  87568  10756 507168    0    0     0     0  579  419  1 28 72  0  0
 0  0 271412  85520  10756 507168    0    0     0     0  605  532  1 14 85  0  0
 0  0 271412  88876  10764 507176    0    0     0    16  380  344  1 10 89  0  0
