 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  16468  89784  37056 775484    0    0     0     0 1341  467  0 41 59  0  0
 0  0  16468  89784  37056 775488    0    0     0     0 1515  410  1 54 45  0  0
 2  0  16468  89784  37064 775492    0    0     0    40 1469  480  0 52 48  0  0
 0  0  16468  89784  37064 775500    0    0     0     0 1248  416  0 35 65  0  0
 0  0  16468  89784  37064 775504    0    0     0     0 1221  430  1 34 65  0  0
 1  0  16468  89784  37064 775512    0    0     0     0 1443  525  2 56 42  0  0
 0  0  16468  89784  37064 775516    0    0     0     0 1129  446  1 37 62  0  0
 0  0  16468  89784  37072 775520    0    0     0    40 1276  494  1 38 61  0  0
 0  0  16468  89784  37072 775528    0    0     0     0 1252  480  0 40 60  0  0
 0  0  16468  89784  37072 775532    0    0     0   168 1096  419  0 37 63  0  0
 1  0  16468  89784  37072 775536    0    0     0     0 1305  499  1 43 56  0  0
 0  0  16468  89784  37072 775540    0    0     0     0 1261  486  1 40 59  0  0
 1  0  16468  89784  37080 775556    0    0     0    28 1182  483  0 38 62  0  0
 0  0  16468  89784  37080 775560    0    0     0     0 1235  470  0 38 62  0  0
 1  0  16468  89784  37080 775568    0    0     0     0 1353  487  1 44 55  0  0
 0  0  16468  89784  37080 775572    0    0     0     0 1297  469  1 45 54  0  0
 0  0  16468  89784  37080 775576    0    0     0     0 1290  475  0 46 54  0  0
 2  0  16468  89784  37088 775584    0    0     0    16 1519  438  1 51 48  0  0
 1  0  16468  89784  37088 775588    0    0     0     0 1348  453  1 42 57  0  0
 0  0  16468  89784  37088 775592    0    0     0     8 1316  466  0 44 56  0  0
 0  0  16468  89784  37088 775600    0    0     0     0 1185  446  0 34 66  0  0
 0  0  16468  89784  37096 775596    0    0     0    52 1171  428  2 36 63  0  0
 0  0  16468  89784  37096 775608    0    0     0     0 1273  471  1 44 55  0  0
 2  0  16468  89784  37096 775616    0    0     0     0 1321  474  2 45 53  0  0
 1  0  16468  89784  37096 775620    0    0     0    36 1309  490  0 56 44  0  0
 0  0  16468  89784  37096 775624    0    0     0     0 1333  417  0 47 53  0  0
 0  0  16468  89784  37104 775632    0    0     0    48 1425  501  0 52 48  0  0
 1  0  16468  89784  37104 775636    0    0     0     0 1317  417  0 41 59  0  0
 1  0  16468  89784  37104 775640    0    0     0     0 1253  427  1 34 65  0  0
 0  0  16468  89784  37104 775648    0    0     0     0 1303  450  1 40 59  0  0
 1  0  16468  89784  37104 775652    0    0     0     0 1262  426  0 39 61  0  0
 0  0  16468  89784  37112 775656    0    0     0    16 1361  491  0 52 48  0  0
 3  0  16468  89784  37112 775664    0    0     0     0 1605  483  1 63 36  0  0
 0  0  16468  89784  37112 775668    0    0     0     0 1053  393  1 35 64  0  0
 1  0  16468  89784  37112 775672    0    0     0     0 1196  461  1 41 58  0  0
 2  0  16468  89784  37112 775680    0    0     0     0 1457  494  0 51 49  0  0
 0  0  16468  89784  37120 775680    0    0     0    16 1225  452  1 34 65  0  0
 0  0  16468  89784  37120 775692    0    0     0     0 1164  393  1 34 65  0  0
 1  0  16468  89784  37120 775696    0    0     0     0 1104  445  1 27 72  0  0
 3  0  16468  89784  37120 775704    0    0     0     0 1434  423  2 46 52  0  0
 0  0  16468  89784  37120 775708    0    0     0   164 1499  454  0 47 53  0  0
 1  0  16468  89784  37128 775716    0    0     0    28 1443  441  0 46 54  0  0
 1  0  16468  89784  37128 775720    0    0     0     0 1340  415  1 41 58  0  0
 0  0  16468  89784  37128 775724    0    0     0     0 1448  453  0 54 46  0  0
 0  0  16468  89784  37128 775732    0    0     0     0 1545  447  1 52 47  0  0
 2  0  16468  89784  37128 775736    0    0     0     0  988  373  0 28 72  0  0
 0  0  16468  89784  37136 775740    0    0     0    16 1275  461  1 37 62  0  0
