"(PDH-CSV 4.0) (ora solare Europa occidentale)(-60)","\\CLAUDIO\Disco fisico(_Total)\% Tempo disco","\\CLAUDIO\Disco fisico(_Total)\% Tempo inattività","\\CLAUDIO\Disco fisico(_Total)\% Tempo lettura disco","\\CLAUDIO\Disco fisico(_Total)\% Tempo scrittura disco","\\CLAUDIO\Disco fisico(_Total)\Letture disco/sec","\\CLAUDIO\Disco fisico(_Total)\Scritture disco/sec","\\CLAUDIO\Disco fisico(_Total)\Suddivisione IO/sec","\\CLAUDIO\Disco fisico(_Total)\Trasferimenti disco/sec","\\CLAUDIO\Memoria\% Byte vincolati in uso","\\CLAUDIO\Memoria\Errore di richiesta nulla/sec","\\CLAUDIO\Memoria\Errori cache/sec","\\CLAUDIO\Memoria\Errori di pagina/sec","\\CLAUDIO\Memoria\Errori in transizione/sec","\\CLAUDIO\Memoria\Input pagine/sec","\\CLAUDIO\Memoria\Letture pagine/sec","\\CLAUDIO\Memoria\MByte disponibili","\\CLAUDIO\Memoria\Output pagine/sec","\\CLAUDIO\Memoria\Pagine/sec","\\CLAUDIO\Memoria\Scritture in copia/sec","\\CLAUDIO\Memoria\Scritture pagine/sec","\\CLAUDIO\Processore(_Total)\% Tempo di interrupt","\\CLAUDIO\Processore(_Total)\% Tempo DPC","\\CLAUDIO\Processore(_Total)\% Tempo inattività","\\CLAUDIO\Processore(_Total)\% Tempo privilegiato","\\CLAUDIO\Processore(_Total)\% Tempo processore","\\CLAUDIO\Processore(_Total)\% Tempo utente","\\CLAUDIO\Processore(_Total)\Interrupt/sec"
"11/29/2023 18:14:23.363","10.441200810919525566","91.683540761144882936","10.223233586754044921","0.21796722416548217072","175.54342979561829452","15.046579696767283352","0","190.5900094923855761","66.762305113198777917","6920.4235551998326628","2357.2974858268744356","13340.297559153872498","4079.6293084501694466","936.9003624520428275","177.54964042185395101","6254","0","936.9003624520428275","175.54342979561829452","0","0","0.19591871946136649174","7.159053178224744407","3.8204702009142401664","88.146761989501371204","84.540005798014433935","44982.251556142349727"
"11/29/2023 18:14:24.366","72.314800110417564838","47.27701977856074933","72.301491384768411308","0.013308725649144309902","1206.3907428886454909","5.9771630531229336114","0","1212.367905941768413","70.452026177768601656","242426.76007777088671","2433.7015564632210953","209301.32243736358942","4369.3061918328648972","5615.5446884089960804","1217.348875152704295","5547","0","5615.5446884089960804","179.31489159368800301","0","0","0","48.168514984478640883","1.4603111370706027827","39.445617307045651501","38.357601570250182021","36136.931625339071616"
"11/29/2023 18:14:25.371","8.931438081184511546","92.03359725387893775","8.735297944029641215","0.19614013715486994238","195.09353689950381749","19.907503765255491146","0","215.00104066475930154","70.121985620381778403","28905.695467150973855","2319.2241886522647292","34823.200961373171594","4355.7618238379018294","764.44814458581083727","197.08428727602935737","5549","0","764.44814458581083727","202.0611632173432497","0","0.19426029506956210557","0","6.6536960878198563307","2.5254136746675661662","88.441358276417545881","85.281363623523930073","43884.101300129208539"
"11/29/2023 18:14:26.369","0.40432918399593104075","99.572704854224753035","0.3291888055565603266","0.075140378439370714148","10.019752940947784126","3.0059258822843353265","0","13.025678823232119896","69.433065659700204719","4893.6473363588975189","2310.5550281825589991","7905.5850704078020499","1402.7654117326896994","75.148147057108374725","12.023703529137341306","5665","0","75.148147057108374725","0","0","0.097855838890371305006","0.19570165772761025091","0","1.565633301927146892","100","98.732753860300618953","43954.652201349737879"
"11/29/2023 18:14:27.363","0.28823839269797413287","99.682958894716279019","0.09153890388324549543","0.19669948881472862356","1.0060410754498614327","9.0543696790487526727","0","10.060410754498613883","69.437857337630788379","3579.4941464506068769","2327.979048590979346","6702.2456446469759612","1399.4031359507571324","0","0","5666","0","0","0","0","0","0","0","0.78596294822272272373","100","98.638344971788839644","43863.390889613954641"
"11/29/2023 18:14:28.363","0.17873039320686506803","99.841209650661227215","0","0.17873039320686506803","0","9.0001143014516280516","0","9.0001143014516280516","69.433189898131701057","3529.0448188691993892","2313.0293754730682849","6630.0842020693662562","1390.0176532241960103","0","0","5667","0","0","0","0","0.097660214852472684854","0.097660214852472684854","0","1.3671930078246172791","100","99.121308066877745091","43905.557600581523729"
"11/29/2023 18:14:29.359","0.070341520834684576058","99.90246966408962237","0","0.070341520834684576058","0","2.0080210400444578056","0","2.0080210400444578056","69.430190643628648672","3510.0207779977117752","2322.2763328114151591","6614.4213059064431945","1386.5385281506980846","0","0","5667","0","0","0","0","0","0","0","0.58829447213638419445","100","99.127196867302316718","44242.727575299533783"
"11/29/2023 18:14:30.371","0.5436253541371109943","99.353509246670540733","0.10463417022553610225","0.43899118391157487817","2.964428635036739923","23.715429080293919384","0","26.679857715330658863","69.429942190048734574","3561.2669335574701108","2276.6811917082163745","6629.4505708204960683","1387.3526011971941898","1.9762857566911598006","0.98814287834557990031","5668","0","1.9762857566911598006","28.656143472021817331","0","0.096491894631443947405","0.19299367066530789816","0","2.3159536921909551488","100","97.849045965418440574","43816.23151159970439"
"11/29/2023 18:14:31.359","0.27206497008651725489","99.701426913966443522","0.20062767250948457254","0.071437297577032696227","10.121177825754410051","2.024235565150881655","0","12.145413390905291706","69.480290373200617182","7420.8475818431325024","2346.0890200098720015","10225.42595735967916","1416.9648956056173574","51.618006911347485755","10.121177825754410051","5657","0","51.618006911347485755","0","0","0.19769244775780708823","0.098846223878903544113","0","1.878007403446541046","100","98.249371229311606157","44144.529204810431111"
"11/29/2023 18:14:32.373","1.4621157405640339277","98.575855655829627722","1.1311728299174363954","0.33094291064659764334","82.851046541871284035","48.329777149424920424","0","131.18082369129621156","69.474558106035587457","5905.1097100736114953","2309.9660833459829519","9145.1774230503633589","1493.2914817189657697","304.77349263616940789","72.001504732816712817","5658","0","304.77349263616940789","0","0","0.19262840077004017569","0.19262840077004017569","0","2.9857747313868898686","100","96.604380755070579312","44817.484569239160919"
